chpter,tumour type,option,,sctid,,ptsctid,,,,,,,,,,,,,,,,,,,,,,,
6,cancer of cervical lymph node or unknown tumour of head or neck,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
7,cancer of oral cavity,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
8,cancer of salivary gland,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
9,cancer of nasopharynx,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
10,human papillomavirus related carcinoa of oropharynx,cT0,American Joint Committee on Cancer cT0 (qualifier value),1228882005,cT0,5063599019,,,,,,,,,,,,,,,,,,,,,,,
10,human papillomavirus related carcinoa of oropharynx,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
10,human papillomavirus related carcinoa of oropharynx,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
10,human papillomavirus related carcinoa of oropharynx,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
10,human papillomavirus related carcinoa of oropharynx,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
11.1,non human papillomavirus related cancer of oropharynx,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT2,American Joint Committee on Cancer cT2 (qualifier value),1228929004,cT2,5063790018,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT3,American Joint Committee on Cancer cT3 (qualifier value),1228938002,cT3,5063830014,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT4,American Joint Committee on Cancer cT4 (qualifier value),1228944003,cT4,5063853010,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT4a,American Joint Committee on Cancer cT4a (qualifier value),1228945002,cT4a,5063858018,,,,,,,,,,,,,,,,,,,,,,,
11.2,cancer of hypopharynx,cT4b,American Joint Committee on Cancer cT4b (qualifier value),1228946001,cT4b,5063859014,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cTX,American Joint Committee on Cancer cTX (qualifier value),1222604002,cTX,5048001014,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cTis,American Joint Committee on Cancer cTis (qualifier value),1228884006,cTis,5063604013,,,,,,,,,,,,,,,,,,,,,,,
12.1,cancer of maxillary sinus,cT1,American Joint Committee on Cancer cT1 (qualifier value),1228889001,cT1,5063628010,,,,,,,,,,,,,,,,,,,,,,,
